name,price,rpm,noise_level,color,size
NZXT Kraken X73 RGB,324.99,"500,1500","22,33",Black,360
ARCTIC Freezer 34 eSports DUO,45.99,"200,2100",24.4,Red / Black,
Corsair H100i RGB PLATINUM SE,,2200,36,White,240
ARCTIC Freezer 34 eSports DUO,50.27,"200,2100",24.4,Black / Gray,
ARCTIC Freezer 7 X CO,26.99,"300,2000",,Black / Silver,
Lian Li GALAHAD AIO 240 RGB,147,"800,1900",,Black / Silver,240
Cooler Master MasterAir MA824 Stealth,99.99,,"0,24.6",Black,
Deepcool LE720,,"500,2250",32.9,White,360
NZXT Kraken M22,89.99,"500,2000","21,36",Black,120
Corsair iCUE H100i ELITE CAPELLIX,223.4,2400,"10,37",White,240
Cooler Master MasterLiquid ML240 Illusion,145.94,"650,1800","6,30",Black,240
Thermalright Frost Tower 120,31.9,1850,29.6,,
Thermalright AXP90-X53,21.9,2700,22.4,Gray,
Thermalright AXP90-X47,20.9,2700,22.4,Gray,
Thermalright Silver Soul 135,34.9,1850,29.6,Black,
Thermalright Frost Spirit 140 V3 BLACK,39.99,1500,25.6,Black,
Thermalright Frozen Magic Scenic V2,44.99,2150,28.1,White,240
MSI MAG CORELIQUID 360R V2,146.97,"500,2000","14.3,34.3",White,360
Cooler Master MasterLiquid Lite 240,,"650,2000","6,30",,240
Lian Li Galahad II LCD,322.39,"300,2450",30,White,360
Thermalright AXP120-X67,29.9,1800,26.1,Gray,
NZXT Kraken Z63 RGB,,"500,1500","22,33",White / Black,280
ID-COOLING SE-225-XT,34.99,"700,1800","15.2,35.2",Black,
Thermaltake Gravity i3,14.99,"1200,3500",36.5,Silver / Black,
Noctua NH-L12 Ghost S1,54.93,"300,1600","13.1,17.6",Silver / Beige,
Lian Li Galahad II Trinity SL-INF,139.99,2100,29,Black,240
Deepcool LS520 WH,109.99,"500,2250",32.9,White,240
Lian Li Galahad II Trinity SL-INF,133.32,2100,29,White,240
ID-COOLING IS-47-XT,31.49,"800,2800",32.5,Black,
ARCTIC Freezer A35 A-RGB,46.99,"200,1700",,Black,
EK EK-Nucleus AIO CR240 Lux D-RGB,109.99,"550,2300",36,Black,240
Thermalright Frozen Magic Scenic V2,57.9,2150,28.1,White,360
NZXT Kraken X53 RGB,170.99,"500,1500","22,33",White / Black,240
Deepcool AK500,49.99,"500,1850",,Black / Silver,
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,Black,240
Thermalright Aqua Elite V3,48.9,1500,25.6,White,240
Gigabyte AORUS WATERFORCE 360,169.99,"950,2150","16.9,31",Black,360
Deepcool GAMMAXX GT A-RGB,,"500,1650",27.8,Black / Silver,
Deepcool AG300,,"500,3050",30.5,Black / Silver,
Fractal Design Celsius+ S28 Dynamic X2 PWM,,"500,1700",32.7,Black,280
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240
Corsair H100i PRO RGB,277.38,2400,37,Black,240
be quiet! Pure Loop 2 FX,109.9,,"10.8,32.8",Black,280
Lian Li Galahad II LCD,277.92,"300,2450",30,Black,360
Asus ROG STRIX LC II,127.07,"800,2500",37.6,Black,360
Deepcool AG620 WH ARGB,54.98,"300,1850",29.4,White,
Deepcool AG200,,"500,3050",30.5,Black / Silver,
Thermaltake TH360 V2 ARGB Sync,103.99,"500,2000",25.8,White,360
Lian Li GALAHAD AIO 360 RGB,209,"800,1900",,Black / Silver,360
Thermaltake Gravity i2,15.98,1800,21.3,,
Thermaltake TH240 ARGB Sync,,1500,28.2,Black,240
Thermalright Assassin King SE,19.89,1550,25.6,Silver / Gray,
IceGiant ProSiphon Elite,169.99,"300,2300",,Black,
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,Black,
Thermalright AXP120-X67,33.9,1800,26.1,Black,
Alphacool Eisbaer Pro Aurora,214.95,,31.5,Black,420
Noctua NH-C14S,79.95,"300,1500","19.2,24.6",,
Corsair iCUE LINK H100i RGB,179.99,"480,2400",,White,240
Cooler Master MasterLiquid ML280 Mirror,155.94,"650,1400","10,27",Black,280
Corsair iCUE H150i RGB PRO XT,,2400,37,Black / White,360
Iceberg Thermal IceFLOE T95,14.99,"1000,2200",32.3,Teal / Silver,
be quiet! Pure Rock Slim,33.99,2000,"13.1,25.4",,
Thermaltake TH360 ARGB Sync,101.99,1500,28.2,Black,360
ID-COOLING FROSTFLOW X 240 LITE,,"700,1800","15.2,35.2",Black,240
Thermalright Aqua Elite V3,,1500,25.6,Black,120
NZXT Kraken X62,,"500,1800","21,38",,280
Thermalright Frozen Prism ARGB,59.9,1850,27,White,360
Asus ROG STRIX LC II,107.62,"800,2500",37.6,Black,240
Cooler Master MasterLiquid Lite 120,,"650,2000","6,30",,120
Jonsbo CR-1400 EVO Color White,26.99,"800,2200","22.3,33.8",White,
Montech METAL DT24 PREMIUM,69,"800,1950",26,Black / Silver,
ENDORFY Fera 5 Dual Fan,,"250,1800",,Black / Silver,
CRYORIG M9a,51.3,"600,2200",26.4,,
MSI MAG CORELIQUID E360,139.99,,,Black,360
Thermaltake TH240 ARGB Sync,145.5,1500,28.2,White,240
EVGA CLC 280,,"600,2200","16,39.5",,280
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,White / Silver,360
Thermalright AXP120-X67,29.9,1800,26.1,White,
Thermalright Assassin King 120 MINI V2,20.9,1500,25.6,Black / Silver,
be quiet! Pure Loop 2,119.9,,"17.2,36.8",Black,360
Cooler Master A71C,24.99,"650,1800",24.9,Black,
Asus ROG STRIX LC II ARGB,126.91,"800,2500",37.6,White / Black,240
Deepcool LE520,,"500,2250",32.9,White,240
Thermalright SI-100,26.9,2000,27.7,Blue,
Scythe FUMA 2,,"300,1200","2.7,24.9",Black / Silver,
NZXT Kraken Z53 RGB,,"500,1500","22,33",White / Black,240
Cooler Master Hyper H410R RGB,,"600,2000","6,29",,
Deepcool AS500 PLUS WH,44.99,"500,1200",31.5,White / Silver,
NZXT Kraken X63 RGB,184.99,"500,1500","22,33",White / Black,280
Thermalright SI-100 WHITE ARGB,26.9,2000,27.7,White,
ARCTIC Alpine AM4,11.99,"100,2000",,Black / White,
ID-COOLING AURAFLOW X,59.99,"700,1800","18,35.2",Black,240
Corsair H115i RGB PLATINUM,,2000,37,Black / Silver,280
EK AIO Basic 240,,"550,2200",33.5,Black,240
ENDORFY Fera 5 ARGB,,"250,1800",,Black / Silver,
Enermax LIQMAX III 360 ARGB,79.99,"500,1600","14,27",White / Black,360
be quiet! Shadow Rock 3,47.9,,"11.5,24.4",White / Black,
Corsair iCUE LINK H170i RGB,269.99,"400,2000",,Black,420
be quiet! Dark Rock TF 2,89.9,1400,,Black,
Vetroo V360,89.99,"800,1800",,Black,360
Cooler Master MasterLiquid 360 Atmos,159.99,"690,2500",27.2,Black,360
ARCTIC Freezer i35 A-RGB,43.56,"200,1700",,Black,
Enermax LIQMAX III 240 ARGB,59.99,"500,1600","14,27",White / Black,240
Phanteks Glacier One 360MPH,199.99,"500,2200","18,34.2",Black,360
Fractal Design Lumen S28 RGB V2,123.98,"500,1700","10,35.5",Black,280
Antec A30,,1750,20,,
Intel BXTS15A,45.5,"1000,3850",,,
Thermalright Silver Soul 110,28.9,2500,23,White,
Corsair H60,,2000,30.85,,120
Deepcool AG620,43.99,"300,1850",29.4,Black / Silver,
ARCTIC Freezer A35,35.99,"200,1800",,Black / White,
ID-COOLING IS-55 ARGB,39.99,"500,2000",31.2,Black,
Thermalright Assassin X SE,16.89,2200,23.85,Black / Silver,
Cooler Master MasterLiquid 240 Atmos,139.99,"690,2500",27.2,Black,240
Inter-Tech ALSEYE W90,42.99,3000,36.7,White / Black,
Thermalright Frost Commander 140 BLACK,43.49,1800,30.2,Black,
ARCTIC Freezer i35 RGB,40.61,"200,1700",,Black,
Fractal Design Lumen S36 RGB V2,134.98,"500,2000","10,33.2",Black,360
MSI MAG CORELIQUID M240,109.51,"500,2000","14.3,34.3",Black,240
Corsair iCUE H115i RGB Pro XT,239.99,2200,36,Black,280
Thermalright Frozen Magic Scenic V2,,2000,31.4,White,280
be quiet! Shadow Rock LP,49.9,1500,"14.8,25.5",,
Deepcool AK500S DIGITAL,62.98,"500,1850",28,Black,
Deepcool AG500 WH ARGB,36.98,"300,1850",29.4,White,
Gigabyte AORUS WATERFORCE X,229.72,"800,2500","7.9,37.6",Black,240
Asus ROG STRIX LC II 280 ARGB,114.2,"700,2100",35.7,Black,280
Lian Li Galahad II LCD,214.9,"300,1550",26.7,White,280
Thermaltake TH360 V2 ARGB Sync,117.99,"500,2000",25.8,Black,360
Lian Li Galahad II Trinity Performance,,"2300,3000","32.1,39.9",White,360
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,240
MSI MPG CORELIQUID K360,390,,39.9,Black,360
Scythe Mugen 5 Black Edition Rev.C,52.99,"300,1500","4,28.6",Black,
Cooler Master Hyper 620S,51.69,"350,1750",27.2,Black / Silver,
EK AIO 240 D-RGB,,"450,2600",36.4,Black,240
Noctua NH-D14,,"900,1200","12.6,19.8",,
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black / White,
Phanteks Glacier One 360 T30 Gen2,407,"1200,3000","11.1,39.7",Black / Gray,360
Alpenföhn BLACK RIDGE,105.89,"800,2800","14,37.6",Black,
ID-COOLING SE-224-XTS,26.99,"600,1500",28.9,Black / Silver,
Vetroo V5,29.99,"800,1700",30.8,Pink,
Enermax Liqmax III 240 ARGB,59.99,"500,1600","14,27",Black,240
Asus ROG RYUO III 240 ARGB,173.72,2200,36.45,Black,240
APNX AP1-V,49.9,"600,1800","16.1,32.8",Black,
APNX AP1-V,49.9,"600,1800","16.1,32.8",White,
Deepcool AG400 PLUS,,"500,2000",,Black / Silver,
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,White,
Corsair iCUE H100i ELITE LCD,217.99,"450,2000","10,30.4",Black,240
Cooler Master MasterAir MA612 Stealth ARGB,69.99,"650,1800","8,27",,
be quiet! Silent Loop 2 240,142.16,2200,"16.8,38.3",Black,240
ID-COOLING SE-914-XT,25.99,"600,2200",,Black / Gray,
Phanteks GLACIER ONE 420D30,179.99,"250,1800",29.5,Black,420
Deepcool LE500,,"500,2250",,Black,240
Corsair iCUE LINK H115i RGB,219.99,"400,2000",,Black,280
Razer Hanbo Chroma,215.99,,,Black,360
be quiet! Pure Loop 280,104.9,,"22.5,38.1",Black,280
Deepcool AS500 Plus,44.99,"500,1200",31.5,Black,
RAIJINTEK THEMIS BLACK,30.2,"1000,1500",24.53,Black / Silver,
be quiet! Pure Loop 2,94.9,,"15.4,34.9",Black,240
Noctua NH-U9DXi4,64.95,"300,1600","13.1,17.6",,
Corsair A500,89.99,2400,36,Black / Silver,
ID-COOLING FROSTFLOW X 240 LITE SNOW,,"700,1800","15.2,35.2",White,240
Thermaltake TH360 V2 Ultra ARGB Sync,177.24,"500,1800",25.8,Black,360
GAMDIAS BOREAS E1,108,"800,2000","10,31",Black / Silver,
Thermalright Burst Assassin,22.9,1550,25.6,Gray / Black,
Thermalright Assassin Spirit V2 Plus,,1500,25.6,Gray,
Cooler Master MasterLiquid ML240 Illusion,137.97,"650,1800","6,30",White,240
Enermax AQUAFUSION ADV 240,74.98,"500,2000","15,32.6",Black,240
MSI MAG CORELIQUID M360,125.36,"500,2000","14.3,34.3",Black,360
NZXT Kraken X52,,"500,2000","21,36",,240
Corsair iCUE LINK H100i LCD,249.99,"480,2400",,Black,240
Fractal Design Lumen S24 V2,,"500,2000","10,33.2",Black,240
Cooler Master i50,16.98,2000,28,Black / Silver,
Deepcool AK500 DIGITAL WH,64.99,"500,1850",28,White,
Corsair iCUE H115i ELITE CAPELLIX,199,2000,"10,36",Black,280
Gelid Solutions Tranquillo Rev. 5,,"900,2000",26.5,Black,
Cooler Master Hyper H411R,48.26,"600,2000",29.4,Black / Silver,
Gelid Solutions BlackFrore,23.99,"900,2000",20,Black,
Noctua NH-U14S TR4-SP3,99.95,"300,1500","19.2,24.6",,
Thermalright Frost Commander 140,39.79,1800,30.2,White,
Cooler Master Hyper 212 LED Turbo ARGB,63.17,"650,1800",27,Black,
Cooler Master MasterLiquid PL360 FLUX,149.69,,32,Black,360
ID-COOLING IS-67-XT,39.99,"500,2200",35.2,Black,
Scythe Ninja 5,,"300,800","4,14.5",Black,
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,Black,240
Deepcool LE500 Marrs,,"500,2250",32.9,Black,240
Deepcool R-AN600-BKNNMN-G,54.99,"500,1850","20,24.4",Black / Silver,
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,White,280
ID-COOLING IS-55 ARGB,39.99,"500,2000",31.2,White,
Phanteks GLACIER ONE 420D30,189.99,"250,1800",29.5,White,420
NZXT Kraken Z63 RGB,,"500,1500","22,33",Black,280
Jonsbo CR-1400,,"900,2300","20,30.5",Black,
ID-COOLING DK-07i RAINBOW,16.98,"500,1800","14.2,25.6",Black,
Enermax AQUAFUSION ADV 360,119.99,"500,2000","15,32.6",Black,360
Cooler Master MasterLiquid ML240R RGB,169,"650,2000","6,30",,240
Asus ProArt LC 420,,"800,2000",31.5,Black,420
ARCTIC Liquid Freezer II 240 RGB,126.99,"200,1800",22.5,Black / Gray,240
Thermaltake TH120 V2 ARGB Sync,79.98,"500,2000",25.8,Black,120
Thermaltake Water 3.0 Ultimate,,"1000,2000",20,,360
Asus ROG Ryujin III,259.99,"600,2200",36.45,White,240
Asus ROG Ryujin III ARGB,249.99,"600,2200",36.45,Black,240
Thermalright Silver Soul 135,30.9,1850,29.6,Silver,
Thermaltake TOUGHLIQUID Ultra,198.9,"500,2500",28.1,Black,360
Corsair H100i,,2700,37.68,,240
Gelid Solutions Liquid 120,66,"750,1800",29.6,Black,120
Scythe Fuma 2 Rev.B,,"300,1500","2.58,23.8",Black / Silver,
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,Black,360
Alphacool Core Ocean T38,99.5,,"0,36",Black,420
Cooler Master MasterLiquid ML360R RGB,,"650,2000","6,34",Black,360
be quiet! Pure Loop 2,104.9,,"15.4,33.8",Black,280
Jonsbo CR-1000,,"700,1800","20.55,37.2",Black,
Noctua NH-L9x65 SE-AM4,59.95,"600,2500","14.8,23.6",,
be quiet! Silent Loop 2 280,212.99,1600,"16.5,36.1",Black,280
Thermaltake Contac Silent 12,20.99,"400,1500","22.1,28.8",,
Deepcool GAMMAXX 400 V2,,"500,1650",,Black / Blue,
ID-COOLING ZOOMFLOW 360 XT,99.99,"500,1500","13.8,30.5",Black,360
EK EK-Nucleus AIO CR240 Lux D-RGB,127.99,"550,2300",36,White,240
Deepcool AG400 LED,,"500,2000",31.6,Black / Silver,
Cooler Master MASTERLIQUID PL360 FLUX,116.04,,32,White,360
CRYORIG H7,,"330,1600",25,,
Thermalright Assassin King 120,,1500,25.6,White / Silver,
Lian Li Galahad II LCD,291.5,"300,1550",26.7,Black,280
Cooler Master MasterAir MA410P,52.05,"650,2000","6,30",,
ARCTIC Freezer i35,39.9,"200,1800",,Black / White,
Asus ROG STRIX LC 360 RGB White Edition,304.99,"800,2500",37.6,White,360
Enermax ETS-T50 AXE ARGB,36.99,"500,1600","14,24",White,
Cooler Master MasterLiquid PL240 FLUX,129.99,,32,Black,240
be quiet! Dark Rock Pro TR4,119.99,"1200,1500","12.8,24.3",Black,
Alpenföhn Panorama 2,111,"500,3000",,Black,
Fractal Design Lumen S36 V2,214.99,"500,2000","10,33.2",Black,360
Deepcool THETA 20 PWM,,"900,2400","17.8,32.5",Black / Silver,
Gigabyte AORUS WATERFORCE 240,232.55,"950,2150","16.9,31",Black,240
ENDORFY Navis F360,,"250,1800",,Black,360
Zalman CNPS10X Performa,39.99,"700,1500",27,Black,
Noctua NH-U9 TR4-SP3,89.95,"400,2000","16.3,22.8",,
Enermax ETS-N31-02,24.99,"800,2000",24.5,Black / Silver,
ID-COOLING SE-226-XT,42.99,"500,1500","13.8,30.5",Black,
Thermaltake TH280 V2 ARGB Sync,99.99,"500,1800",34.7,Black,280
Asus ROG Ryujin III,220.99,"450,2000",29.7,Black,240
Noctua NH-U12S SE-AM4,74.95,"300,1500","18.6,22.4",,
Phanteks Glacier One 360MPH,,"500,2200","18,34.2",White,360
EVGA CLCx 360,239.99,,35,Black,360
Deepcool GAMMAXX L240 V2,,"500,1800",30,Black / White,240
Deepcool AG400 ARGB,,"500,2000",31.6,Black / Silver,
Thermalright Frost Spirit 140 V3 ARGB,36.99,1500,25.6,White,
Deepcool ASSASSIN III,79.98,"400,1400",34.2,Black / Silver,
Thermaltake TH240 V2 ARGB Sync,99.99,"500,2000",25.8,White,240
Lian Li Galahad AIO360 (2022),209,"800,1900",32,White / Silver,360
Corsair H110i,,2100,43,,280
Gigabyte AORUS WATERFORCE 280,159.99,"950,2150","17.1,36.5",Black,280
Thermaltake TH360 V2 Ultra ARGB Sync,,"500,1800",25.8,White,360
Antec VORTEX 360,,"600,2000",31.24,Black,360
Gigabyte AORUS WATERFORCE X,179.99,2300,"8.06,44.4",Black,280
Thermaltake TOUGHAIR 310,29.99,"500,2000",23.6,Black / Gray,
Razer Hanbo Chroma,179.99,,,Black,240
NZXT Kraken X72,,"500,2000","21,36",Black,360
ARCTIC Freezer i13 X,29.99,"300,2000",,Black / White,
Enermax AQUAFUSION ADV,,"500,2000","17,32.6",White,240
Cooler Master I70,,1800,28,Black / Silver,
ID-COOLING PINKFLOW 240 Diamond,99.99,"900,2000","16.3,33.5",Pink,240
ID-COOLING FROZN A610 BLACK,39.99,"500,2000",29.85,Black,
Thermaltake TH120 V2 ARGB Sync,79.98,"500,2000",25.8,White,120
Corsair H115i PRO,,1200,20.4,,280
Aerocool Cylon 4,52.31,"800,1800","14,26",Black,
Corsair H55,,1500,"18,26.5",Black,120
Asus TUF Gaming LC II ARGB,119.99,"800,2000",29,Black,240
Thermaltake TH120 ARGB Sync,79.97,1500,28.2,Black,120
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,360
Lian Li Galahad AIO240 (2022),161,"800,1900",32,Black / Silver,240
Gigabyte AORUS ATC800,94.99,"600,2000","18,31",Black,
Thermalright Frost Commander 140,38.9,1800,30.2,Gray,
Asus ROG RYUJIN II,196.11,"450,2000",29.7,Black,240
Fractal Design Celsius S36,220.34,"500,2000",32.2,,360
Scythe Kotetsu Mark 3,29.99,"300,1500","4,28.6",Black / Silver,
ID-COOLING SE-207-XT SLIM SNOW,39.99,"700,1800","15.2,35.2",White,
MSI MAG CORELIQUID R,93.84,"500,1800","14.8,33.28",Black,280
Lian Li Galahad AIO360 (2022),239,"800,1900",32,Black / Silver,360
Deepcool GAMMAXX 400 XT,,"500,1500",27,Black,
ENDORFY Navis F240,121.81,"250,1800",,Black,240
Thermalright Assassin King 90,24.9,2500,27.3,Black / Silver,
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2000",33.2,Black,420
Thermaltake TOUGHAIR 510,44.99,"500,2000",23.6,Black / Gray,
Gelid Solutions Liquid 360,99,"750,1800",29.6,Black,360
Deepcool CASTLE 360EX,,"500,1800",32.1,Black,360
Thermaltake TH360 ARGB Sync,142.61,1500,28.2,White,360
Jonsbo CR-1000 EVO ARGB Black,,"600,1500","22,32",Black,
Corsair H80i v2,,2435,37.7,,120
ID-COOLING SE-914-XT ARGB,32.99,"600,2200","14,25.8",Black / Gray,
MSI MEG CORELIQUID S280,262.36,,24.9,Black,280
Alphacool Core Ocean T38,76.5,,"0,34.3",Black,240
Deepcool LS320,62.99,"500,2250",32.9,Black,120
Corsair iCUE H60i RGB PRO XT,,2400,"10,37",Black,120
Asus ROG STRIX LC 240 RGB White Edition,184.99,"800,2500",37.6,White,240
ID-COOLING SE-226-XT,44.99,"500,1500","13.8,30.5",Black,
TEAMGROUP SIREN GD360E,119.99,"600,2200","14.3,35.6",White,360
be quiet! Shadow Rock Slim 2,44.9,1400,"11.5,23.7",Black,
Thermalright AXP90-X53,,2700,22.4,Black,
Thermaltake TH120 ARGB Sync,70.98,1500,28.2,White,120
CRYORIG M9i,,"600,2200",26.4,,
Cooler Master MasterLiquid 240,,"650,2000","6,30",,240
Corsair A115,99.99,"400,1600","5,33.9",Black,
Deepcool AK500S DIGITAL,67.98,"500,1850",28,White,
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,240
Cooler Master i70C,24.99,"650,1800",28,Black / Silver,
ID-COOLING ZOOMFLOW X,,"700,1500","18,26.4",White,240
Cooler Master i71C RGB,,"650,1800",,Black,
Fractal Design Celsius S24,214.84,"500,2000",32.2,,240
Thermaltake TH240 V2 Ultra ARGB Sync,143.66,"500,1800",25.8,Black,240
Thermaltake Gravity A2,20.39,"1200,3500",33.5,Silver / Black,
Thermaltake TH280 V2 Ultra ARGB Sync,154.99,"500,2000",34.7,White,280
Noctua NH-U9B SE2,,"1000,1600","7.9,17.6",,
Cooler Master MasterLiquid ML240L RGB,118.99,"650,2000","6,30",,240
Asus ROG RYUO III 360 ARGB WHITE EDITION,,2200,36.45,White,360
Vetroo U6 Pro,39.99,"700,1500","18.1,30.5",Black,
Thermalright Ultra120EX REV.4,29.59,2150,28.1,Black,
Thermaltake Water 3.0 120 ARGB Sync,130.95,"500,1500",25.8,Black,120
Deepcool GAMMAXX L240 A-RGB,319.81,"500,1800",30,Black,240
ID-COOLING PINKFLOW 240 V2,,"900,2000","16.3,33.5",Pink,240
Antec A40PRO,27.99,"800,2200","16,23",,
Scythe Big Shuriken 3 Rev.B,,"300,1800","2.58,27.8",Black / Silver,
Alphacool Core Ocean T38,82.75,,"0,36",Black,280
Thermaltake CLP0556,16.43,"1900,2300",22,,
Deepcool UD511 RGB,,"500,1800",26.8,Black,
Cooler Master Wraith Ripper,212.5,,"0,38",Black,
Deepcool AS500,29.99,"500,1200",29.2,Black / Silver,
