name,price,style,switches,backlit,tenkeyless,connection_type,color
HP HyperX Alloy Core RGB,43.54,Gaming,,RGB,false,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,White
Microsoft Natural Desktop 7000,799.95,Ergonomic,,,false,Wireless,Black / Silver
Corsair K60 RGB Pro,54.99,Gaming,Cherry Viola,RGB,false,Wired,Black
RK Royal Kludge RK61,42.99,Mini,RK Red,White,true,"Wired, Wireless, Bluetooth Wireless",White
SteelSeries Apex Pro TKL (2023),222.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G915 Lightspeed,195.77,Gaming,Logitech GL Tactile,RGB,false,Wireless,Black
Logitech K120,11.99,Standard,,,false,Wired,Black
Redragon K552,40.99,Gaming,Outemu Blue,Red,true,Wired,Black
Razer Huntsman Mini,109.99,Mini,Razer Red Optical Linear,RGB,true,Wired,Black
Corsair K95 RGB PLATINUM,238,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
SteelSeries Apex Pro,199.99,Gaming,OmniPoint Adjustable,RGB,false,Wired,Black
Corsair K55 RGB PRO,49.88,Gaming,,Multicolor,false,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,true,Wired,Black
Corsair K70 RGB PRO,169.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech G413 SE,44.99,Gaming,Kailh LT Brown,White,true,Wired,Black
HP HyperX Alloy Origins Core,69.98,Gaming,HyperX Red,RGB,true,Wired,Black
Logitech G715,179.5,Gaming,GX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 TKL,156,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Asus ROG Azoth,221.99,Mini,ROG NX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K100 RGB,195.99,Gaming,Corsair OPX,RGB,false,Wired,Black
Logitech G213 PRODIGY,49.99,Gaming,,RGB,false,Wired,Black
Asus ROG CLAYMORE II,319.99,Gaming,ROG RX Red Optical,RGB,false,Wireless,Black
SteelSeries Apex Pro TKL (2023),189.99,Gaming,SteelSeries OmniPoint 2.0,RGB,true,Wired,Black
Verbatim 99201,10,Standard,,,false,Wired,Black
SteelSeries Apex 3 TKL RGB,34.97,Gaming,,RGB,true,Wired,Black
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Green,RGB,false,Wired,Black
Wooting Two HE,,Gaming,Lekker linear60,RGB,false,Wired,Black
Logitech G PRO,79.98,Gaming,GX Blue,RGB,true,Wired,Black
Razer Huntsman Mini,99.99,Mini,Razer Purple Optical Clicky,RGB,true,Wired,Black
Logitech PRO X,181.88,Gaming,Logitech GX Brown Tactile,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",White
Corsair K65 60%,109.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,Black
Razer Huntsman Elite,259.99,Gaming,Razer Purple,RGB,false,Wired,Black
SteelSeries Apex 3,39.99,Gaming,,RGB,false,Wired,Black
SteelSeries Apex 100,14.98,Gaming,,Blue,false,Wired,Black
Redragon K582 SURARA,44.99,Gaming,Outemu Red,RGB,false,Wired,Black
Corsair K100 AIR Wireless,199.99,Gaming,Cherry MX Ultra Low Profile Tactile,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 RGB PRO,119.99,Gaming,Corsair OPX,RGB,false,Wired,White
Logitech G512 CARBON,99.99,Gaming,GX Brown,RGB,false,Wired,Black
G.Skill KM360,49.99,Standard,Cherry MX Red,White,true,Wired,White
Corsair K65 RGB MINI,79.99,Mini,Cherry MX Speed Silver,RGB,true,Wired,White
RK Royal Kludge RK61,42.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",White
Razer Huntsman V2,108.5,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Asceny One,24.99,Mini,Gateron Blue Optical,RGB,true,Wired,Black
Cooler Master SK620,,Gaming,TTC Red,RGB,true,Wired,Gray / Black
Logitech Wireless Combo MK270,27.99,Standard,,,false,Wireless,Black
SteelSeries Apex Pro TKL,,Gaming,SteelSeries QX2 OmniPoint,RGB,true,Wired,Black
Corsair K60 RGB Pro SE,69.99,Gaming,Cherry Viola,RGB,false,Wired,Black
Razer Cynosa V2,112,Gaming,,RGB,false,Wired,Black
Keychron K2 V2 Aluminum,99.99,Standard,Gateron G Pro Brown,RGB,true,Wireless,Black / Gray
Logitech G613,71.98,Standard,Romer-G Tactile,,false,Wireless,Black
E-element Z88RGB81WRZ,34.99,Mini,Outemu Blue,Multicolor,true,Wired,White
AOC GK500,29.99,Gaming,Outemu Red,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM,297.47,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Gunmetal
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",White
Tecware Phantom RGB,35.99,Gaming,Outemu Red,RGB,true,Wired,Black
Razer Huntsman Tournament Edition,129.99,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
HP HyperX Alloy Origins Core,69,Gaming,HyperX Aqua,RGB,true,Wired,Black
Razer Huntsman Mini,109.99,Mini,Razer Red Optical Linear,RGB,true,Wired,White
EagleTec KG010-N,18.5,Standard,Outemu Blue,,false,Wired,Black
Asus ROG Strix Flare II Animate,179.99,Gaming,ROG NX Red,RGB,false,Wired,Black
Glorious GMMK,,Gaming,Gateron Brown,RGB,true,Wired,Black
SteelSeries Apex 7 TKL,79.98,Gaming,SteelSeries QX2 Red,RGB,true,Wired,Black
Logitech G815 Lightsync RGB,164,Gaming,GL Tactile,RGB,false,Wired,Black
MSI Vigor GK30,34.99,Gaming,,RGB,false,Wired,Black
Redragon DEVARAIAS K556 RGB,59.99,Gaming,Outemu Brown,RGB,false,Wired,Black
Logitech PRO X,199,Gaming,Logitech GX Blue Clicky,RGB,true,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Razer BlackWidow V3 Pro,219.99,Gaming,Razer Yellow,RGB,false,Wireless,Black
Ducky One 2 Mini,,Standard,Cherry MX Red,RGB,true,Wired,White / Black
Razer Huntsman V3 Pro,219.99,Gaming,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Corsair STRAFE RGB,199.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
SteelSeries Apex 5,99.99,Gaming,,RGB,false,Wired,Black
Razer BlackWidow V3,86.99,Gaming,Razer Yellow,RGB,true,Wired,Black
Razer Blackwidow V3 - Quartz,125,Gaming,Razer Green,RGB,false,Wired,Pink
G.Skill KM360,,Standard,Cherry MX Red,White,true,Wired,Black
Keychron C2,78.98,Standard,Gateron G Pro Brown Hot-swappable,White,false,Wired,Black / White
Corsair K70 PRO MINI,94.99,Mini,Cherry MX Red,RGB,true,"Wired, Bluetooth Wireless",White
Razer Huntsman V3 Pro Mini,179.99,Mini,Razer Analog Optical Switch Gen-2,RGB,true,Wired,Black
Logitech G610,119.99,Gaming,Cherry MX Red,White,false,Wired,Black
Logitech MK120,18.49,Slim,,,false,Wired,Black
Logitech G915 TKL,190.99,Gaming,GL Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",White / Silver
Logitech diNovo Edge,709.48,Mini,,,false,Bluetooth Wireless,Black / White
HP HyperX Alloy Origins,109.99,Gaming,HyperX Red,RGB,false,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed,165.59,Gaming,Razer Green,RGB,true,Wireless,Black
Asus ROG Strix Scope,99.99,Gaming,ROG NX Red,RGB,true,Wired,White / Gray
Logitech G13,561.44,Gaming,,RGB,true,Wired,Black
Logitech G915 Lightspeed,198.89,Gaming,Logitech GL Linear,RGB,false,Wireless,Black
Corsair K57 RGB,109.99,Gaming,,RGB,false,Bluetooth Wireless,Black
Logitech K120 - UK Layout,27.29,Standard,,,false,Wired,Black
Logitech G413 Carbon,89.99,Gaming,Romer-G Tactile,Red,false,Wired,Black
Logitech MX Keys Advanced,109.99,Slim,,White,false,Wireless,Black
Razer Ornata V2,,Gaming,,RGB,false,Wired,Black
Corsair K70 PRO MINI,146.74,Mini,Cherry MX Speed Silver,RGB,true,Wireless,Black
Logitech G810 Orion Spectrum RGB,308.98,Gaming,Romer-G Tactile,RGB,false,Wired,Black
AmazonBasics KU-0833 +MSU0939,15.21,Standard,,,false,Wired,Black
Corsair K95 RGB PLATINUM XT,149.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Rosewill NEON K54,27.03,Gaming,,RGB,false,Wired,Black
Logitech G915 TKL,159.99,Gaming,GL Linear,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Keychron C1 Pro V1,59.99,Standard,Keychron K Pro Red,White,true,Wired,Black / Gray
Corsair K55 RGB PRO XT,79.98,Gaming,,RGB,false,Wired,Black
Razer Huntsman V2,149.99,Gaming,Razer Purple Optical Clicky,RGB,false,Wired,Black
Redragon S101,39.99,Gaming,,,false,Wired,Black / Red
Corsair K60 Pro,79.98,Gaming,Corsair OPX,RGB,true,Wired,Black
Cooler Master SK620,41.58,Gaming,TTC Blue,RGB,true,Wired,Silver / White
Logitech G Pro X,59.99,Gaming,Logitech GX Blue Clicky,RGB,true,Wired,Black
Corsair K65 RGB MINI,69.99,Mini,Cherry MX Brown,RGB,true,Wired,Black
SHARKOON Skiller,,Gaming,,,false,Wired,Black
Logitech G510s,349.99,Gaming,,Multicolor,false,Wired,Black
Razer DeathStalker V2 Pro,219.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,true,Wireless,Black
Cooler Master SK620,42.25,Gaming,TTC Blue,RGB,true,Wired,Gray / Black
Corsair K70 RGB PRO,109.99,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Corsair STRAFE RGB MK.2,120,Gaming,Cherry MX Red,RGB,false,Wired,
SteelSeries Apex 7,152.99,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Ducky One 2 Mini,,Standard,Cherry MX Brown,RGB,true,Wired,White / Black
GMMK Glorious Modular Mechanical Gaming Keyboard,,Gaming,Gateron Brown,RGB,true,Wired,Black
Razer Ornata Chroma,141.66,Gaming,,RGB,false,Wired,Black
Logitech MK200,19.48,Slim,,,false,Wired,Black
Asus ROG CLAYMORE II,243.99,Gaming,ROG RX Blue Optical,RGB,false,Wireless,Black
Logitech G915 Lightspeed,180.1,Gaming,Logitech GL Clicky,RGB,false,Wireless,Black
Razer BlackWidow V3,89.99,Gaming,Razer Green,RGB,false,Wired,Black
Corsair K100 RGB,241.46,Gaming,Cherry MX Speed Silver,RGB,false,Wired,Black
Redragon K512 SHIVA RGB,36.99,Gaming,,RGB,false,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,,Gaming,Cherry MX Red,RGB,true,Wired,Black
Logitech MX Mechanical,153,Slim,Kailh Choc V2 Brown,White,false,Wireless,Gray / Black
Logitech G715,179,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
Corsair K63 (MX Red w/Blue LED),108.99,Gaming,Cherry MX Red,Blue,true,Wireless,
Logitech G Pro,144.28,Gaming,Romer-G Tactile,RGB,true,Wired,Black
Asus M601 ROG FALCHION/RD/US,169,Gaming,Cherry MX Red,RGB,true,Wireless,Black
Logitech K400 Plus,25.99,Mini,,,true,Wireless,Black / Yellow
Corsair K100 RGB,249.99,Gaming,Corsair OPX,RGB,false,Wired,Gold / Black
Corsair K70 RGB MK.2,,Gaming,Cherry MX Red,RGB,false,Wired,Black
Redragon K552-R KUMARA,,Gaming,Outemu Blue,RGB,true,Wired,Black
Razer BlackWidow V4,169.99,Gaming,Razer Yellow,RGB,false,Wired,Black
Asus ROG Strix Flare (Cherry MX Red),124,Gaming,Cherry MX Red,RGB,false,Wired,Black
Lenovo 300,11.99,Slim,,,false,Wired,Black
Keychron Q1 Pro,169.99,Standard,Keychron K Pro Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G512 CARBON,102.28,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Keychron K3 V2 Ultra-slim,99.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
HP HyperX Alloy Elite 2,119.99,Gaming,HyperX Red,RGB,false,Wired,Black
Logitech G910 Orion Spectrum RGB,249,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Corsair K70 CORE,98.41,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Corsair Vengeance K70,,Gaming,Cherry MX Red,Red,false,Wired,Black
Asus ROG Azoth,249.99,Mini,ROG NX Blue,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Rosewill NEON K42,,Gaming,,RGB,false,Wired,Black
Logitech K845,49.9,Standard,TTC Red,White,false,Wired,Black
Redragon S113,,Gaming,Outemu Brown,RGB,true,Wired,Black
Corsair K55 RGB,99,Gaming,,RGB,false,Wired,Black
Logitech MX 5500 Revolution,756.87,Standard,,,false,Wireless,Black
Logitech G19s,699.06,Gaming,,,false,Wired,Black
Keychron K10 Pro QMK/VIA,114.99,Standard,Keychron K Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Tecware Tecware Phantom L,33,Gaming,Outemu Brown,RGB,true,Wired,Black / Silver
Logitech PRO X,198.62,Gaming,Logitech GX Red Linear,RGB,true,,Black
Redragon K552-RGB,,Gaming,Outemu Blue,RGB,true,Wired,Black
Dell KB216,16.98,Slim,,,false,Wired,Black
Redragon K551-RGB VARA,49.99,Standard,Outemu Blue,RGB,false,Wired,Black
Razer DeathStalker V2 Pro,249.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,false,Wireless,Black
Razer Huntsman V2,109.99,Gaming,Razer Purple Optical Clicky,RGB,true,Wired,Black
Logitech MK235,23.74,Standard,,,false,Wireless,Black
Razer Cynosa Chroma,,Gaming,,RGB,false,Wired,Black
Ducky ONE 3,,Gaming,Cherry MX Red RGB,RGB,false,Wired,White
Whirlwind FX Element V2,34.99,Gaming,Gateron Red,RGB,false,Wired,Black
Razer Huntsman V2 Analog,119.99,Gaming,Razer Analog Optical,RGB,false,Wired,Black
Logitech MX KEYS S,109.99,Standard,,,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech K120,20.98,Standard,,,false,Wired,Black
Logitech G513 Carbon,149.99,Gaming,GX Blue,RGB,false,Wired,Black
Corsair K70 PRO MINI,179.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Bluetooth Wireless",White
Logitech G710 Plus,289.39,Gaming,Cherry MX Brown,White,false,Wired,Black
Logitech MK295 SILENT,39.99,Standard,,,false,"Wired, Wireless",Black
Logitech G815 Lightsync RGB,199.94,Gaming,GL Clicky,RGB,false,Wired,Black
Corsair K70 PRO MINI,149.8,Mini,Cherry MX Red,RGB,true,Wireless,Black
Logitech MK550,58.99,Ergonomic,,,false,Wireless,Black
Razer BlackWidow 2019,94.95,Gaming,Razer Green,RGB,false,Wired,Black
NZXT Function Tenkeyless,69.98,Gaming,Gateron Red,RGB,true,Wired,White / Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Corsair K70 RGB TKL CHAMPION SERIES,149.99,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Black
Razer Huntsman V2,159.99,Gaming,Razer Red Optical Linear,RGB,false,Wired,Black
Corsair K65 RGB MINI,90.99,Mini,Cherry MX Red,RGB,true,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed,99,Gaming,Razer Yellow,RGB,true,Wireless,Black
Razer BlackWidow Chroma,,Gaming,Razer Green,RGB,false,Wired,Black
ROCCAT Vulcan TKL Pro,183.46,Gaming,Roccat Titan Optical,RGB,true,Wired,Black
Razer Ornata V3 X,34.97,Gaming,,RGB,false,Wired,Black
Corsair K70 RGB MK.2,159.94,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Logitech G815 Lightsync RGB,195.99,Gaming,GL Linear,RGB,false,Wired,Black
Logitech G710,350,Gaming,Cherry MX Blue,White,false,Wired,Black / Blue
Razer BlackWidow V4 Pro,229.99,Gaming,Razer Yellow,RGB,false,Wired,Black
ROCCAT Pyro,49.99,Gaming,TTC Red,RGB,false,Wired,Black
ROCCAT Vulcan 122 AIMO,168.69,Gaming,Roccat Titan Brown,RGB,false,Wired,Silver
ROCCAT Vulcan 121 Aimo RGB,49.99,Gaming,Roccat Titan Red,RGB,false,Wired,Black
MSI VIGOR,28.99,Gaming,,RGB,false,Wired,Black / Gray
Wooting One,,Gaming,Flaretech Red,RGB,true,Wired,Black
Corsair K68 RGB,169,Gaming,Cherry MX Red,RGB,false,Wired,Black
Asus ROG Azoth,229.99,Mini,ROG NX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 MAX RGB US,229.99,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Thermaltake POSEIDON Z,79.98,Gaming,Kailh Blue,Blue,false,Wired,Black
Razer BlackWidow Elite,,Gaming,Razer Green,RGB,false,Wired,Black
MSI VIGOR GK50 ELITE LL,58.38,Gaming,Kailh Blue,RGB,false,Wired,Silver / Black
Cooler Master Devastator 3 (2022),,Gaming,,RGB,false,Wired,Black
Corsair K95 RGB PLATINUM,270,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Razer BlackWidow Elite,279.95,Gaming,Razer Orange,RGB,false,Wired,Black
Qisan Magicforce,39.97,Mini,Outemu Brown,,true,Wired,White
NZXT Function,120.28,Gaming,Gateron Red,RGB,false,Wired,White / Black
Asus ROG Strix Flare PNK LTD,274,Gaming,Cherry MX Red,RGB,false,Wired,Pink / White
SteelSeries Apex 7,139.99,Gaming,SteelSeries QX2 Blue,RGB,false,Wired,Black
Logitech G512 CARBON,99.99,Gaming,GX Red,RGB,false,Wired,Black
EVGA Z20,57,Gaming,LK Light Strike Clicky,RGB,false,Wired,Black
NZXT Function MiniTKL,99.99,Gaming,Gateron Red,RGB,true,Wired,Black
Glorious GMMK,,Gaming,Gateron Brown,RGB,false,Wired,Black
Patriot Viper V770,49.99,Gaming,Kailh Red,RGB,false,Wired,Black
Asus ROG Strix Scope,,Gaming,Cherry MX Blue,RGB,false,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,,false,Wired,Black
Asus TUF Gaming K3,80,Gaming,Kailh Red,RGB,false,Wired,Black
Asus ROG Strix Scope RX EVA Edition,,Gaming,ROG RX Blue Optical,RGB,false,Wired,Purple
Glorious GMMK,56.37,Gaming,Gateron Brown,RGB,true,Wired,